
SPDR S&P 500 ETF Trust,Last: 388.55,Change:  2.99
"Date: 19 September 2022, 8:29 PM GMT-4",Bid: 389.76,Ask: 389.8,Size: 1*6,"Volume: 7,31,75,183"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Oct 03 2022,SPY221003C00385000,10.2,1.41,9.79,9.84,1198,0.245,0.6134,0.0196,357,385.00,SPY221003P00385000,5.89,-1.73,5.82,5.86,1698,0.2587,-0.3874,0.0197,2691
Mon Oct 03 2022,SPY221003C00386000,9.59,1.365,9.17,9.22,518,0.2433,0.594,0.02,544,386.00,SPY221003P00386000,6.2,-1.85,6.2,6.24,1033,0.2569,-0.4069,0.0201,824
Mon Oct 03 2022,SPY221003C00388000,7.97,0.83,7.99,8.03,633,0.24,0.5539,0.0207,202,388.00,SPY221003P00388000,7.07,-1.895,7.01,7.05,1440,0.2533,-0.4473,0.0209,1474
Mon Oct 03 2022,SPY221003C00390000,6.9,0.775,6.88,6.92,2049,0.2364,0.5121,0.0213,1200,390.00,SPY221003P00390000,7.97,-1.98,7.9,7.94,1245,0.2496,-0.4894,0.0214,3474
Mon Oct 03 2022,SPY221003C00391000,6.5,0.85,6.35,6.39,198,0.2344,0.4907,0.0215,344,391.00,SPY221003P00391000,8.43,-2.055,8.38,8.42,964,0.2478,-0.511,0.0216,1605
Mon Oct 03 2022,SPY221003C00392000,5.69,0.495,5.85,5.89,99,0.2322,0.469,0.0216,258,392.00,SPY221003P00392000,9.09,-1.94,8.87,8.92,405,0.2459,-0.5329,0.0218,758
Wed Oct 05 2022,SPY221005C00385000,10.44,1.065,10.38,10.43,521,0.2469,0.608,0.0183,306,385.00,SPY221005P00385000,6.42,-1.72,6.36,6.39,828,0.2596,-0.3929,0.0184,2643
Wed Oct 05 2022,SPY221005C00386000,9.77,0.965,9.76,9.82,400,0.2452,0.5899,0.0187,208,386.00,SPY221005P00386000,6.78,-1.79,6.74,6.78,782,0.2579,-0.4111,0.0188,473
Wed Oct 05 2022,SPY221005C00388000,8.57,0.855,8.59,8.63,659,0.2421,0.5525,0.0193,330,388.00,SPY221005P00388000,7.58,-1.91,7.55,7.59,1557,0.2544,-0.4487,0.0194,576
Wed Oct 05 2022,SPY221005C00390000,7.65,0.955,7.47,7.52,774,0.2384,0.5137,0.0197,335,390.00,SPY221005P00390000,8.56,-1.91,8.44,8.48,1330,0.2511,-0.4879,0.0199,1555
Wed Oct 05 2022,SPY221005C00392000,6.67,0.915,6.43,6.48,353,0.2348,0.4737,0.02,361,392.00,SPY221005P00392000,9.8,-1.73,9.4,9.45,1297,0.2475,-0.5283,0.0202,796
Wed Oct 05 2022,SPY221005C00394000,5.5,0.615,5.48,5.52,387,0.231,0.4327,0.0202,3491,394.00,SPY221005P00394000,10.79,-1.875,10.45,10.5,849,0.2439,-0.5697,0.0204,1259
Fri Oct 07 2022,SPY221007C00386000,10.42,0.975,10.42,10.47,744,0.2501,0.5882,0.0174,210,386.00,SPY221007P00386000,7.37,-1.71,7.27,7.3,757,0.2599,-0.4135,0.0176,6293
Fri Oct 07 2022,SPY221007C00387000,9.56,0.67,9.83,9.88,453,0.2485,0.5709,0.0177,453,387.00,SPY221007P00387000,7.72,-1.81,7.67,7.7,1473,0.2581,-0.431,0.0179,1371
Fri Oct 07 2022,SPY221007C00388000,9.24,0.885,9.24,9.29,465,0.2468,0.5532,0.018,283,388.00,SPY221007P00388000,8.14,-1.85,8.09,8.12,579,0.2564,-0.4488,0.0181,3371
Fri Oct 07 2022,SPY221007C00389000,8.77,0.94,8.68,8.73,520,0.2451,0.5353,0.0182,487,389.00,SPY221007P00389000,8.65,-1.82,8.52,8.56,721,0.2548,-0.4669,0.0184,4457
Fri Oct 07 2022,SPY221007C00390000,8.11,0.785,8.13,8.18,1063,0.2434,0.5171,0.0184,1260,390.00,SPY221007P00390000,9.02,-1.95,8.98,9.01,1151,0.253,-0.4853,0.0186,9160
Fri Oct 07 2022,SPY221007C00391000,7.46,0.625,7.6,7.64,1438,0.2415,0.4986,0.0185,1147,391.00,SPY221007P00391000,9.34,-2.14,9.45,9.48,364,0.2514,-0.504,0.0187,3016
Mon Oct 10 2022,SPY221010C00385000,11.75,1.445,11.33,11.39,236,0.2396,0.6022,0.0166,35,385.00,SPY221010P00385000,7.23,-1.7,7.16,7.22,2199,0.2512,-0.399,0.0167,2395
Mon Oct 10 2022,SPY221010C00386000,10.41,0.675,10.72,10.78,224,0.2383,0.5858,0.0169,19,386.00,SPY221010P00386000,7.71,-1.65,7.55,7.6,97,0.2497,-0.4156,0.017,106
Mon Oct 10 2022,SPY221010C00388000,9.98,1.34,9.55,9.6,268,0.2353,0.552,0.0174,40,388.00,SPY221010P00388000,8.36,-1.91,8.37,8.42,195,0.2466,-0.4497,0.0175,409
